hhsize,able,rec_attended_school,rec_age,dist_food_market,imp_dich,future1yr,asst_idx,lvstk_idx,prod_idx,any_savings,qsn,HF1,HF2,HF3
7,2,,30,,Willing to wait at least once,0,.90538418,.27871555,.71846193,0,86,0,0,0
8,3,,38,,Willing to wait at least once,0,.58656758,.41384095,.89744425,0,90,0,0,0
7,2,,25,,Never willing to wait,1,.21423963,.27871555,.60697192,1,92,0,0,1
6,2,,32,,Willing to wait at least once,1,.14779887,0,.60697192,0,93,0,0,0
9,4,,39,,Willing to wait at least once,0,1.0709597,.47868326,1.2078197,1,95,0,0,0
8,1,,47,,Willing to wait at least once,0,.21423963,.33774942,.62360156,0,100,0,0,0
8,1,,39,,Willing to wait at least once,1,.33518511,.96686405,.71846193,1,101,1,1,0
9,2,,36,,Never willing to wait,1,.53517997,.67513299,1.1985822,1,112,0,0,0
8,1,,43,,Willing to wait at least once,0,.21423963,0,.81875926,0,141,0,0,0
7,2,,35,,Never willing to wait,0,.48742339,.87071228,.99343777,1,143,0,0,0
7,2,,26,,Never willing to wait,1,.14779887,.47868326,1.1985822,1,144,0,0,0
7,1,,45,,Willing to wait at least once,1,.14779887,0,.50030637,0,145,0,0,0
7,2,,30,,Willing to wait at least once,1,.66187716,1.232394,.48147386,0,146,0,0,0
3,1,,36,,Willing to wait at least once,0,1.1049581,.39349177,.9099077,1,148,0,1,0
3,0,,68,,Willing to wait at least once,1,.14779887,.21597672,.71846193,0,152,0,0,0
11,3,,37,,Never willing to wait,1,.5518105,.87674665,1.1903378,1,153,0,0,0
6,2,,31,,Willing to wait at least once,1,.27653977,.67513299,.98197877,0,156,1,1,0
6,2,,38,,Willing to wait at least once,1,.27653977,.39349177,.98197877,1,159,0,0,0
6,0,,62,,Never willing to wait,0,0,0,.50030637,0,160,0,0,0
5,1,,36,,Willing to wait at least once,1,.33518511,.30151162,.83223623,0,161,0,0,0
7,2,,33,,Willing to wait at least once,0,.92798322,1.3328513,.81875926,0,165,0,0,0
6,2,,30,,Never willing to wait,0,.40377998,.077292271,.71846193,1,167,0,0,0
4,1,,55,,Willing to wait at least once,0,.14779887,0,.60697192,0,169,1,0,1
6,2,1,20,,Willing to wait at least once,1,.74743104,1.5342921,1.1524351,0,172,0,0,0
6,2,,30,,Never willing to wait,1,.81089884,1.2269279,,1,174,0,0,1
7,2,,43,,Willing to wait at least once,0,.5630551,.79089421,.50030637,1,176,0,0,0
11,2,,35,,Willing to wait at least once,0,1.1812389,.67513299,.62360156,1,178,0,0,0
4,1,,30,,Willing to wait at least once,1,.36373544,0,.35964283,0,181,0,0,0
9,2,,34,,Never willing to wait,1,.21423963,0,,1,182,0,0,1
5,3,,32,,Willing to wait at least once,1,1.8488097,0,1.0034672,1,184,0,1,0
4,2,,40,,Willing to wait at least once,1,.21423963,0,.35964283,0,188,0,0,0
7,2,,37,,Willing to wait at least once,1,.27653977,0,1.0599209,0,194,0,0,0
3,1,1,24,,Willing to wait at least once,0,.57613456,1.0404061,.35964283,0,196,0,1,0
8,2,,38,,Willing to wait at least once,1,.68735689,.49644032,.9099077,0,200,0,0,0
9,3,,40,,Willing to wait at least once,1,1.6528798,0,1.5631322,1,203,0,0,0
4,1,,42,,Never willing to wait,0,.14779887,0,.60697192,0,206,1,0,1
3,1,,37,,Willing to wait at least once,1,.65889388,.21597672,.48147386,0,209,0,1,0
5,1,,32,,Willing to wait at least once,0,.8540768,.93014222,.80509818,1,213,0,1,0
9,3,,43,,Never willing to wait,1,1.1324258,1.2400515,1.2540766,0,214,0,0,0
4,2,1,23,,Willing to wait at least once,0,.34913072,0,.60697192,0,215,0,0,0
4,1,,38,,Willing to wait at least once,0,.21423963,1.3908581,.35964283,0,216,0,0,0
8,3,,41,,Willing to wait at least once,1,.48174194,.56800365,.71846193,0,217,0,0,0
6,2,,42,,Willing to wait at least once,1,.21423963,0,.80509818,0,218,0,0,0
7,2,,35,,Willing to wait at least once,0,.40377998,.33774942,.62360156,0,220,0,0,0
7,2,,27,,Willing to wait at least once,0,.27653977,0,.50030637,0,221,0,0,0
6,0,,56,,Willing to wait at least once,0,.27653977,.077292271,.71846193,0,222,0,0,0
3,1,,26,,Willing to wait at least once,1,.076627567,0,0,0,223,0,0,0
4,2,,27,,Willing to wait at least once,0,.86294192,.49644032,.80509818,1,224,1,0,1
9,2,,44,,Willing to wait at least once,0,.7735135,0,.71846193,0,225,0,0,0
10,2,,41,,Willing to wait at least once,1,.85462296,1.0772725,.81875926,0,226,0,0,0
7,2,,29,,Willing to wait at least once,0,.85462296,.49644032,.99343777,0,228,0,0,1
6,2,,32,,Willing to wait at least once,0,.48174194,1.4141799,.89744425,0,230,0,0,0
8,2,,29,,Willing to wait at least once,0,.45559675,0,1.2051483,0,232,0,0,0
8,3,,42,,Willing to wait at least once,1,.88938898,1.8954659,1.313995,1,233,0,0,0
8,2,,38,,Willing to wait at least once,0,1.6008769,1.4141799,1.3945791,1,234,0,0,0
